"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$3.apply(int)";"0.00948596";"252.974 ms";"252.971 ms";"11182684"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply(int)";"0.008155239";"217.486 ms";"31391.673 ms";"2310714"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4$$anonfun$apply$5.apply(Object)";"0.006227029";"166.064 ms";"214.455 ms";"5342594"
"ar.edu.ungs.yamiko.problems.vrp.RoutesMorphogenesisAgent.develop(ar.edu.ungs.yamiko.ga.domain.Genome, ar.edu.ungs.yamiko.ga.domain.Individual)";"0.006065751";"161.763 ms";"1142.12 ms";"208000"
"scala.concurrent.impl.CallbackRunnable.run()";"0.0058205533";"155.224 ms";"178.325 ms";"12262"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$3.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0056162653";"149.776 ms";"49542.506 ms";"208000"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$1.apply(scala.collection.immutable.List)";"0.0049547297";"132.134 ms";"132.132 ms";"918041"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2.apply(Object)";"0.0048655975";"129.757 ms";"3010.895 ms";"913144"
"scala.concurrent.impl.Future$PromiseCompletingRunnable.run()";"0.0046588723";"124.244 ms";"124.244 ms";"3"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.replacePopulation(java.util.Collection)";"0.004599701";"122.666 ms";"122.663 ms";"26"
"org.apache.spark.HeartbeatReceiver$$anon$1.run()";"0.004395713";"117.226 ms";"117.924 ms";"126"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply(Object)";"0.0043346668";"115.598 ms";"31507.271 ms";"2310714"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorDisplacement.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0042443345";"113.189 ms";"117.801 ms";"1754"
