"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3.apply()";"0.003093756";"793.66 ms";"793.66 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"204"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$2.apply()";"0.002824593";"724.61 ms";"724.61 ms";"76189.742 ms";"71367.498 ms";"745"
"scala.collection.immutable.List.map()";"0.0023325142";"598.374 ms";"598.374 ms";"28102.852 ms";"23197.928 ms";"144"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2.apply()";"0.0023273765";"597.056 ms";"597.056 ms";"926721.27 ms";"883277.325 ms";"8839"
"scala.collection.immutable.List.takeRight()";"0.0022586961";"579.437 ms";"579.437 ms";"579.437 ms";"579.437 ms";"3"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$4.apply()";"0.0019884964";"510.121 ms";"510.121 ms";"17209.068 ms";"16859.409 ms";"181"
"org.apache.spark.rdd.RDD.map()";"0.0017994507";"461.624 ms";"461.624 ms";"461.624 ms";"461.624 ms";"2"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$1.apply()";"0.0015817815";"405.784 ms";"405.784 ms";"21760.352 ms";"21568.74 ms";"223"
"java.util.HashMap.put()";"0.0015587477";"399.875 ms";"399.875 ms";"21920.05 ms";"21920.05 ms";"113"
"scala.collection.immutable.List.take()";"0.0013399014";"343.733 ms";"343.733 ms";"343.733 ms";"343.733 ms";"1"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1$$anonfun$1.apply()";"8.0384413E-4";"206.215 ms";"206.215 ms";"5736.563 ms";"3651.405 ms";"48"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorSwap.execute()";"7.8788534E-4";"202.121 ms";"202.121 ms";"202.121 ms";"202.121 ms";"1"
"java.util.GregorianCalendar.equals()";"7.818589E-4";"200.575 ms";"200.575 ms";"200.575 ms";"200.575 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelper.selectRandomSubRouteFromInd()";"7.796058E-4";"199.997 ms";"199.997 ms";"199.997 ms";"199.997 ms";"1"
"java.lang.System.currentTimeMillis[native]()";"7.795551E-4";"199.984 ms";"199.984 ms";"199.984 ms";"199.984 ms";"1"
"java.lang.Double.valueOf()";"7.791887E-4";"199.89 ms";"199.89 ms";"199.89 ms";"199.89 ms";"1"
"org.apache.spark.SparkContext.broadcast()";"4.4397658E-4";"113.896 ms";"113.896 ms";"113.896 ms";"113.896 ms";"1"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.getAll()";"0.0";"0.0 ms";"0.0 ms";"1771272.164 ms";"1757766.952 ms";"5883"
"ar.edu.ungs.yamiko.ga.operators.impl.ProbabilisticRouletteSelector.executeN()";"0.0";"0.0 ms";"0.0 ms";"1.7493267025E7 ms";"1.7479120193E7 ms";"5067"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$3.apply()";"0.0";"0.0 ms";"0.0 ms";"389664.075 ms";"371480.095 ms";"3847"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply()";"0.0";"0.0 ms";"0.0 ms";"296413.588 ms";"289201.544 ms";"2930"
"scala.collection.Iterator$class.foreach()";"0.0";"0.0 ms";"0.0 ms";"530297.689 ms";"500552.542 ms";"2622"
"scala.collection.AbstractIterator.foreach()";"0.0";"0.0 ms";"0.0 ms";"523508.611 ms";"494598.845 ms";"2591"
